DOW30;SP500;BOVESPA67;FTSE100;IBEX35;ATX20;NIKKEI225;SH1476;CH50;TAIWAN896;SET582;KARACHI100;COLCAP25
;0.462588;0.384107;0.427015;;;0.547924;0.298778;0.337701;0.351966;0.395308;0.539119;
;0.430429;0.371485;0.419494;;;0.539221;0.296856;0.261324;0.332492;0.390548;0.521636;
;0.426447;0.345361;0.406639;;;0.527235;0.296756;;0.315357;0.369759;0.512161;
;0.42464;0.335414;0.392103;;;0.525921;0.279627;;0.312172;0.369586;0.508383;
;0.420271;0.332062;0.391844;;;0.523787;0.272758;;0.299622;0.366762;0.496543;
;0.412427;0.315125;0.391808;;;0.519682;0.262719;;0.286633;0.360955;0.495875;
;0.403074;0.311442;0.389291;;;0.507039;0.256361;;0.285618;0.357492;0.491649;
;0.401784;0.300457;0.387885;;;0.46993;0.255285;;0.274612;0.342266;0.479629;
;0.401774;0.286344;0.382944;;;0.463034;0.255182;;0.269609;0.335928;0.454546;
;0.398418;0.248362;0.366201;;;0.435038;0.254629;;0.267883;0.327149;0.441598;
;0.395252;0.233043;0.363895;;;0.424612;0.254084;;0.265742;0.320468;0.423188;
;0.387461;0.229923;0.356132;;;0.416977;0.252902;;0.255293;0.31616;0.410378;
;0.386425;0.223933;0.355378;;;0.385862;0.250376;;0.243619;0.302407;0.40773;
;0.374051;0.222217;0.337496;;;0.376502;0.247853;;0.243294;0.297668;0.387893;
;0.358976;0.213797;0.334668;;;0.37642;0.244533;;0.232977;0.294465;0.385501;
;0.346535;0.155471;0.333941;;;0.37248;0.242186;;0.232615;0.293142;0.370831;
;0.345895;0.131889;0.333331;;;0.356799;0.241168;;0.228335;0.287382;0.37005;
;0.34415;0.110578;0.326066;;;0.353022;0.236035;;0.228134;0.283637;0.362113;
;0.341982;0.088752;0.325597;;;0.347932;0.23366;;0.227807;0.272382;0.352329;
;0.339527;;0.325346;;;0.346783;0.227422;;0.225021;0.270691;0.351999;
;0.33924;;0.319308;;;0.345798;0.224882;;0.22336;0.266495;0.343712;
;0.332581;;0.316047;;;0.344813;0.223888;;0.222293;0.266207;0.339807;
;0.323824;;0.315365;;;0.342678;0.222637;;0.210598;0.255883;0.337348;
;0.304426;;0.314419;;;0.339066;0.214626;;0.205952;0.251459;0.331678;
;0.301717;;0.312642;;;0.335125;0.213316;;0.200328;0.251328;0.326777;
;0.295894;;0.31146;;;0.32905;0.211073;;0.193913;0.248007;0.319295;
;0.292346;;0.307911;;;0.322728;0.209661;;0.192125;0.246328;0.299059;
;0.287852;;0.304675;;;0.316817;0.201508;;0.188951;0.246064;0.295384;
;0.281579;;0.289638;;;0.312384;0.189861;;0.186581;0.244066;0.28993;
;0.278298;;0.286968;;;0.311316;0.186397;;0.176162;0.235633;0.277773;
